State,2019_Pop.,Density_(p/miÂ²)
California,40017007,257
Texas,29104064,111
Florida,21640022,404
New York,19875625,422
Pennsylvania,12842441,287
Illinois,12734617,229
Ohio,11730719,287
Georgia,10660897,185
North Carolina,10506879,216
Michigan,10020043,177
New Jersey,9060100,"1,232"
Virginia,8581300,217
Washington,7655361,115
Arizona,7231526,64
Massachusetts,6932015,889
Tennessee,6849144,166
Indiana,6732440,188
Missouri,6158244,90
Maryland,6107027,629
Wisconsin,5840615,108
Colorado,5761252,56
Minnesota,5679718,71
South Carolina,5153463,171
Alabama,4903151,97
Louisiana,4680685,108
Kentucky,4490341,114
Oregon,4256350,44
Oklahoma,3950178,58
Connecticut,3589182,741
Utah,3216857,39
Iowa,3175395,57
Nevada,3115609,28
Arkansas,3036375,58
Mississippi,2981470,64
Kansas,2923907,36
New Mexico,2093346,17
Nebraska,1945022,25
Idaho,1790777,22
West Virginia,1790297,74
Hawaii,1425248,222
New Hampshire,1358355,152
Maine,1347257,44
Montana,1074167,7
Rhode Island,1063785,"1,029"
Delaware,980421,503
South Dakota,885914,12
North Dakota,755083,11
Alaska,736341,1
District of Columbia,713244,"11,693"
Vermont,624263,68
Wyoming,568125,6
Puerto Rico,3654978,412
